City,Population,County,State,FullState,MSA,Population Score,Closest Airport,Proximity to Airport,Airport Score
Minneapolis,413651,Hennepin County,MN,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",4,Minneapolis Saint Paul International Airport,15 min,6
Tulsa,403090,Tulsa County,OK,Oklahoma,"Tulsa, OK",3.9,Tulsa International Airport,12 min,7.2
Arlington,392772,Tarrant County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",3.8,Dallas/Fort Worth International Airport,21 min,3.6
New Orleans,391495,Orleans Parish,LA,Louisiana,"New Orleans-Metairie, LA",3.8,Louis Armstrong New Orleans International Airport,20 min,4
Wichita,389902,Sedgwick County,KS,Kansas,"Wichita, KS",3.8,Wichita Dwight D. Eisenhower National Airport,12 min,7.2
Cleveland,385809,Cuyahoga County,OH,Ohio,"Cleveland-Elyria, OH",3.8,Cleveland Hopkins International Airport,16 min,5.6
Tampa,377165,Hillsborough County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",3.7,Tampa International Airport,10 min,8
Bakersfield,376380,Kern County,CA,California,"Bakersfield, CA",3.7,Meadows Field Airport,13 min,6.8
Aurora,361710,Arapahoe County,CO,Colorado,"Denver-Aurora-Lakewood, CO",3.5,Denver International Airport,19 min,4.4
Honolulu,351792,Honolulu County,HI,Hawaii,"Urban Honolulu, HI",3.4,Honolulu International Airport,13 min,6.8
Anaheim,351043,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",3.4,LA/Ontario International Airport Terminal 4,40 min,0
Santa Ana,334217,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",3.3,LA/Ontario International Airport Terminal 4,44 min,0
Corpus Christi,325733,Nueces County,TX,Texas,"Corpus Christi, TX",3.2,Corpus Christi International Airport,9 min,8.4
Riverside,324722,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",3.2,San Bernardino International Airport,25 min,2
Lexington,318449,Fayette County,KY,Kentucky,"Lexington-Fayette, KY",3.1,Mount Sterling-Montgomery County Airport,43 min,0
St. Louis,311404,St. Louis County,MO,Missouri,"St. Louis, MO-IL",3,St. Louis Lambert International Airport,19 min,4.4
Stockton,307072,San Joaquin County,CA,California,"Stockton-Lodi, CA",3,Modesto City County Airport,41 min,0
Pittsburgh,303625,Allegheny County,PA,Pennsylvania,"Pittsburgh, PA",3,Pittsburgh International Airport,22 min,3.2
St. Paul,302398,Ramsey County,MN,Minnesota,"Minneapolis-St. Paul-Bloomington, MN-WI",2.9,Minneapolis Saint Paul International Airport,17 min,5.2
Cincinnati,298800,Hamilton County,OH,Ohio,"Cincinnati, OH-KY-IN",2.9,Cincinnati/Northern Kentucky International Airport,18 min,4.8
Anchorage,298192,Anchorage Municipality,AK,Alaska,"Anchorage, AK",2.9,Ted Stevens Anchorage International Airport,13 min,6.8
Henderson,292969,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",2.9,McCarran International Airport,15 min,6
Greensboro,287027,Guilford County,NC,North Carolina,"Greensboro-High Point, NC",2.8,Piedmont Triad International Airport,18 min,4.8
Plano,286057,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",2.8,Dallas/Fort Worth International Airport,30 min,0
Newark,281764,Essex County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",2.7,Newark Liberty International Airport,10 min,8
Lincoln,280364,Lancaster County,NE,Nebraska,"Lincoln, NE",2.7,Millard Airport,49 min,0
Toledo,278508,Lucas County,OH,Ohio,"Toledo, OH",2.7,"Harrisburg International Airport, 2 Terminal Dr, Middletown, PA 17057",Over 60 min,0
Orlando,277173,Orange County,FL,Florida,"Orlando-Kissimmee-Sanford, FL",2.7,Orlando International Airport,23 min,2.8
Chula Vista,267172,San Diego County,CA,California,"San Diego-Carlsbad, CA",2.6,San Diego International Airport,19 min,4.4
Irvine,266122,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",2.6,LA/Ontario International Airport Terminal 4,45 min,0
Fort Wayne,264488,Allen County,IN,Indiana,"Fort Wayne, IN",2.6,Fort Wayne International Airport,18 min,4.8
Jersey City,264152,Hudson County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",2.6,Newark Liberty International Airport,15 min,6
Durham,263016,Durham County,NC,North Carolina,"Durham-Chapel Hill, NC",2.6,Raleigh-Durham International Airport,17 min,5.2
St. Petersburg,260999,Pinellas County,FL,Florida,"Tampa-St. Petersburg-Clearwater, FL",2.5,Tampa International Airport,26 min,1.6
Laredo,257156,Webb County,TX,Texas,"Laredo, TX",2.5,Laredo International Airport,9 min,8.4
Buffalo,256902,Erie County,NY,New York,"Buffalo-Cheektowaga-Niagara Falls, NY",2.5,Buffalo Niagara International Airport,18 min,4.8
Madison,252551,Dane County,WI,Wisconsin,"Madison, WI",2.5,Dane County Regional Airport,15 min,6
Lubbock,252506,Lubbock County,TX,Texas,"Lubbock, TX",2.5,Lubbock Preston Smith International Airport,11 min,7.6
Chandler,247477,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",2.4,Phoenix Sky Harbor International Airport,23 min,2.8
Scottsdale,246645,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",2.4,Phoenix Sky Harbor International Airport,16 min,5.6
Glendale,245895,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",2.4,Phoenix Sky Harbor International Airport,21 min,3.6
Reno,245255,Washoe County,NV,Nevada,"Reno, NV",2.4,Reno-Tahoe International Airport,7 min,9.2
Norfolk,245115,Norfolk city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",2.4,Norfolk International Airport,15 min,6
Winston-Salem,242203,Davidson County,NC,North Carolina,"Winston-Salem, NC",2.4,Piedmont Triad International Airport,29 min,0.4
North Las Vegas,238702,Clark County,NV,Nevada,"Las Vegas-Henderson-Paradise, NV",2.3,McCarran International Airport,19 min,4.4
Irving,238289,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",2.3,Dallas/Fort Worth International Airport,14 min,6.4
Chesapeake,237940,Chesapeake city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",2.3,Norfolk International Airport,19 min,4.4
Gilbert,237133,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",2.3,Phoenix Sky Harbor International Airport,22 min,3.2
Hialeah,236387,Miami-Dade County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",2.3,Miami International Airport,17 min,5.2
Garland,234943,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",2.3,Dallas/Fort Worth International Airport,35 min,0
Fremont,233136,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",2.3,Oakland International Airport,25 min,2
Baton Rouge,227715,East Baton Rouge Parish,LA,Louisiana,"Baton Rouge, LA",2.2,Baton Rouge Metropolitan Airport,14 min,6.4
Richmond,223170,Richmond city,VA,Virginia,"Richmond, VA",2.2,Richmond International Airport,13 min,6.8
Boise,223154,Ada County,ID,Idaho,"Boise City, ID",2.2,Eckhart International Airport-1S1,2 min,10
San Bernardino,216239,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",2.1,San Bernardino International Airport,9 min,8.4
Spokane,215973,Spokane County,WA,Washington,"Spokane-Spokane Valley, WA",2.1,Spokane International Airport,10 min,8
Des Moines,215472,Polk County,IA,Iowa,"Des Moines-West Des Moines, IA",2.1,Des Moines International Airport,14 min,6.4
Modesto,212175,Stanislaus County,CA,California,"Modesto, CA",2.1,San Francisco International Airport,Over 60 min,0
Birmingham,212157,Jefferson County,AL,Alabama,"Birmingham-Hoover, AL",2.1,Birmingham-Shuttlesworth International Airport,8 min,8.8
Tacoma,211277,Pierce County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",2.1,Seattle-Tacoma International Airport,28 min,0.8
Fontana,209665,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",2,San Bernardino International Airport,26 min,1.6
Rochester,208880,Monroe County,NY,New York,"Rochester, NY",2,Greater Rochester International Airport,9 min,8.4
Oxnard,207906,Ventura County,CA,California,"Oxnard-Thousand Oaks-Ventura, CA",2,Santa Paula Airport,23 min,2.8
Moreno Valley,205499,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",2,San Bernardino International Airport,29 min,0.4
Fayetteville,204759,Cumberland County,NC,North Carolina,"Fayetteville, NC",2,Fayetteville Regional Airport,12 min,7.2
Aurora,201110,Kane County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",2,O'Hare International Airport,41 min,0
Glendale,200831,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",2,Los Angeles International Airport,37 min,0
Yonkers,200807,Westchester County,NY,New York,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",2,Newark Liberty International Airport,43 min,0
Huntington Beach,200652,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",2,LA/Ontario International Airport Terminal 4,Over 60 min,0
Montgomery,200022,Montgomery County,AL,Alabama,"Montgomery, AL",2,Montgomery Regional Airport,12 min,7.2
Amarillo,199582,Potter County,TX,Texas,"Amarillo, TX",1.9,Rick Husband Amarillo International Airport,15 min,6
Little Rock,198541,Pulaski County,AR,Arkansas,"Little Rock-North Little Rock-Conway, AR",1.9,Bill and Hillary Clinton National Airport,12 min,7.2
Akron,197633,Summit County,OH,Ohio,"Akron, OH",1.9,Cleveland Hopkins International Airport,42 min,0
Columbus,197485,Muscogee County,GA,Georgia,"Columbus, GA-AL",1.9,Columbus Airport,Over 60 min,0
Augusta-Richmond County,197081,Richmond County,GA,Georgia,"Augusta-Richmond County, GA-SC",1.9,Augusta Regional Airport,16 min,5.6
Grand Rapids,196445,Kent County,MI,Michigan,"Grand Rapids-Wyoming, MI",1.9,Gerald R. Ford International Airport,18 min,4.8
Shreveport,194920,Caddo Parish,LA,Louisiana,"Shreveport-Bossier City, LA",1.9,Shreveport Regional Airport,15 min,6
Salt Lake City,193744,Salt Lake County,UT,Utah,"Salt Lake City, UT",1.9,Salt Lake City International Airport,9 min,8.4
Huntsville,193079,Madison County,AL,Alabama,"Huntsville, AL",1.9,Huntsville International Airport,16 min,5.6
Mobile,192904,Mobile County,AL,Alabama,"Mobile, AL",1.9,Trent Lott International Airport,34 min,0
Tallahassee,190894,Leon County,FL,Florida,"Tallahassee, FL",1.9,Tallahassee International Airport,15 min,6
Grand Prairie,190682,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.9,Dallas/Fort Worth International Airport,16 min,5.6
Overland Park,188966,Johnson County,KS,Kansas,"Kansas City, MO-KS",1.8,Kansas City International Airport,32 min,0
Knoxville,186239,Knox County,TN,Tennessee,"Knoxville, TN",1.8,McGhee Tyson Airport,16 min,5.6
Port St Lucie,185132,St. Lucie County,FL,Florida,"Port St. Lucie, FL",1.8,Treasure Coast International Airport and Business Park,24 min,2.4
Worcester,184508,Worcester County,MA,Massachusetts,"Worcester, MA-CT",1.8,Worcester Regional Airport - ORH,13 min,6.8
Brownsville,183823,Cameron County,TX,Texas,"Brownsville-Harlingen, TX",1.8,Valley International Airport,36 min,0
Tempe,182498,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",1.8,Phoenix Sky Harbor International Airport,9 min,8.4
Santa Clarita,181972,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.8,Van Nuys Airport,23 min,2.8
Newport News,181825,Newport News city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",1.8,Norfolk International Airport,30 min,0
Cape Coral,179804,Lee County,FL,Florida,"Cape Coral-Fort Myers, FL",1.8,Southwest Florida International Airport,27 min,1.2
Providence,179219,Providence County,RI,Rhode Island,"Providence-Warwick, RI-MA",1.7,T. F. Green Airport,15 min,6
Fort Lauderdale,178752,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.7,Miami International Airport,34 min,0
Chattanooga,177571,Hamilton County,TN,Tennessee,"Chattanooga, TN-GA",1.7,Chattanooga Airport,19 min,4.4
Rancho Cucamonga,176534,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.7,San Bernardino International Airport,35 min,0
Oceanside,175464,San Diego County,CA,California,"San Diego-Carlsbad, CA",1.7,San Diego Airport,42 min,0
Santa Rosa,175155,Sonoma County,CA,California,"Santa Rosa, CA",1.7,Napa County Airport,56 min,0
Garden Grove,174858,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.7,LA/Ontario International Airport Terminal 4,45 min,0
Vancouver,174826,Clark County,WA,Washington,"Portland-Vancouver-Hillsboro, OR-WA",1.7,Portland International Airport,17 min,5.2
Sioux Falls,174360,Minnehaha County,SD,South Dakota,"Sioux Falls, SD",1.7,Sioux Falls Regional Airport,8 min,8.8
Ontario,173212,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.7,San Bernardino International Airport,34 min,0
McKinney,172298,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.7,Dallas/Fort Worth International Airport,32 min,0
Elk Grove,169743,Sacramento County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",1.7,Sacramento International Airport,28 min,0.8
Jackson,169148,Hinds County,MS,Mississippi,"Jackson, MS",1.6,Jackson-Medgar Wiley Evers International Airport,18 min,4.8
Pembroke Pines,168587,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.6,Miami International Airport,30 min,0
Salem,167419,Marion County,OR,Oregon,"Salem, OR",1.6,A2 Global Shipping,Over 60 min,0
Springfield,167319,Greene County,MO,Missouri,"Springfield, MO",1.6,Springfield-Branson National Airport,16 min,5.6
Corona,166785,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.6,San Bernardino International Airport,37 min,0
Eugene,166575,Lane County,OR,Oregon,"Eugene, OR",1.6,Eugene Airport,17 min,5.2
Fort Collins,164207,Larimer County,CO,Colorado,"Fort Collins, CO",1.6,Reed Airport,Over 60 min,0
Peoria,164173,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",1.6,Phoenix Sky Harbor International Airport,27 min,1.2
Frisco,163656,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.6,Dallas/Fort Worth International Airport,26 min,1.6
Cary,162320,Wake County,NC,North Carolina,"Raleigh, NC",1.6,Raleigh-Durham International Airport,13 min,6.8
Lancaster,160106,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.6,Palmdale Regional Airport,21 min,3.6
Hayward,158937,Alameda County,CA,California,"San Francisco-Redwood City-South San Francisco, CA Metropolitan Division",1.6,Oakland International Airport,15 min,6
Palmdale,157356,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.5,Van Nuys Airport,48 min,0
Salinas,157218,Monterey County,CA,California,"Salinas, CA",1.5,Salinas Muni Airport-SNS,7 min,9.2
Alexandria,155810,Arlington County,VA,Virginia,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",1.5,Baltimore/Washington International Thurgood Marshall Airport,48 min,0
Lakewood,154393,Jefferson County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.5,Denver International Airport,34 min,0
Springfield,154074,Hampden County,MA,Massachusetts,"Springfield, MA-CT",1.5,Bradley International Airport,23 min,2.8
Pasadena,153351,Harris County,TX,Texas,"Houston-The Woodlands-Sugar Land, TX",1.5,George Bush Intercontinental Airport,33 min,0
Sunnyvale,152771,Santa Clara County,CA,California,"San Jose-Sunnyvale-Santa Clara, CA",1.5,Oakland International Airport,45 min,0
Macon,152555,Bibb County,GA,Georgia,"Macon, GA",1.5,Middle Georgia Regional Airport,18 min,4.8
Pomona,152494,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.5,San Bernardino International Airport,41 min,0
Hollywood,151998,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.5,Miami International Airport,28 min,0.8
Kansas City,151709,Wyandotte County,KS,Kansas,"Kansas City, MO-KS",1.5,Kansas City International Airport,21 min,3.6
Escondido,151613,San Diego County,CA,California,"San Diego-Carlsbad, CA",1.5,San Diego International Airport,37 min,0
Clarksville,150287,Montgomery County,TN,Tennessee,"Clarksville, TN-KY",1.5,John C. Tune Airport,56 min,0
Joliet,148262,Will County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",1.4,O'Hare International Airport,49 min,0
Rockford,147651,Winnebago County,IL,Illinois,"Rockford, IL",1.4,Chicago Rockford International Airport,13 min,6.8
Torrance,147195,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.4,Los Angeles International Airport,19 min,4.4
Naperville,147122,Dupage County,IL,Illinois,"Chicago-Naperville-Arlington Heights, IL Metropolitan Division",1.4,O'Hare International Airport,37 min,0
Paterson,147000,Passaic County,NJ,New Jersey,"New York-Jersey City-White Plains, NY-NJ Metropolitan Division",1.4,Newark Liberty International Airport,27 min,1.2
Savannah,146763,Chatham County,GA,Georgia,"Savannah, GA",1.4,Savannah/Hilton Head International Airport,18 min,4.8
Bridgeport,145936,Fairfield County,CT,Connecticut,"Bridgeport-Stamford-Norwalk, CT",1.4,Westchester County Airport,42 min,0
Mesquite,143736,Dallas County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.4,Dallas/Fort Worth International Airport,36 min,0
Killeen,143400,Bell County,TX,Texas,"Killeen-Temple, TX",1.4,Killeen-Fort Hood Regional Airport,15 min,6
Syracuse,143378,Onondaga County,NY,New York,"Syracuse, NY",1.4,Syracuse Hancock International Airport,10 min,8
McAllen,142212,Hidalgo County,TX,Texas,"McAllen-Edinburg-Mission, TX",1.4,McAllen International Airport,7 min,9.2
Pasadena,142059,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.4,Los Angeles International Airport,38 min,0
Bellevue,141400,King County,WA,Washington,"Seattle-Bellevue-Everett, WA Metropolitan Division",1.4,Seattle-Tacoma International Airport,21 min,3.6
Fullerton,140721,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.4,LA/Ontario International Airport Terminal 4,39 min,0
Orange,140504,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.4,LA/Ontario International Airport Terminal 4,42 min,0
Dayton,140489,Greene County,OH,Ohio,"Dayton, OH",1.4,Dayton International Airport,15 min,6
Miramar,138449,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.4,Miami International Airport,26 min,1.6
Thornton,136703,Adams County,CO,Colorado,"Denver-Aurora-Lakewood, CO",1.3,Denver International Airport,30 min,0
West Valley City,136574,Salt Lake County,UT,Utah,"Salt Lake City, UT",1.3,Salt Lake City International Airport,14 min,6.4
Olathe,135473,Johnson County,KS,Kansas,"Kansas City, MO-KS",1.3,Kansas City International Airport,42 min,0
