City,Population,County,State,FullState,MSA,Population Score
Overland Park,188966,Johnson County,KS,Kansas,"Kansas City, MO-KS",1.8
Knoxville,186239,Knox County,TN,Tennessee,"Knoxville, TN",1.8
Port St Lucie,185132,St. Lucie County,FL,Florida,"Port St. Lucie, FL",1.8
Worcester,184508,Worcester County,MA,Massachusetts,"Worcester, MA-CT",1.8
Brownsville,183823,Cameron County,TX,Texas,"Brownsville-Harlingen, TX",1.8
Tempe,182498,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",1.8
Santa Clarita,181972,Los Angeles County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.8
Newport News,181825,Newport News city,VA,Virginia,"Virginia Beach-Norfolk-Newport News, VA-NC",1.8
Cape Coral,179804,Lee County,FL,Florida,"Cape Coral-Fort Myers, FL",1.8
Providence,179219,Providence County,RI,Rhode Island,"Providence-Warwick, RI-MA",1.7
Fort Lauderdale,178752,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.7
Chattanooga,177571,Hamilton County,TN,Tennessee,"Chattanooga, TN-GA",1.7
Rancho Cucamonga,176534,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.7
Oceanside,175464,San Diego County,CA,California,"San Diego-Carlsbad, CA",1.7
Santa Rosa,175155,Sonoma County,CA,California,"Santa Rosa, CA",1.7
Garden Grove,174858,Orange County,CA,California,"Los Angeles-Long Beach-Glendale, CA Metropolitan Division",1.7
Vancouver,174826,Clark County,WA,Washington,"Portland-Vancouver-Hillsboro, OR-WA",1.7
Sioux Falls,174360,Minnehaha County,SD,South Dakota,"Sioux Falls, SD",1.7
Ontario,173212,San Bernardino County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.7
McKinney,172298,Collin County,TX,Texas,"Dallas-Plano-Irving, TX Metropolitan Division",1.7
Elk Grove,169743,Sacramento County,CA,California,"Sacramento--Roseville--Arden-Arcade, CA",1.7
Jackson,169148,Hinds County,MS,Mississippi,"Jackson, MS",1.6
Pembroke Pines,168587,Broward County,FL,Florida,"Miami-Miami Beach-Kendall, FL Metropolitan Division",1.6
Salem,167419,Marion County,OR,Oregon,"Salem, OR",1.6
Springfield,167319,Greene County,MO,Missouri,"Springfield, MO",1.6
Corona,166785,Riverside County,CA,California,"Riverside-San Bernardino-Ontario, CA",1.6
Eugene,166575,Lane County,OR,Oregon,"Eugene, OR",1.6
Fort Collins,164207,Larimer County,CO,Colorado,"Fort Collins, CO",1.6
Peoria,164173,Maricopa County,AZ,Arizona,"Phoenix-Mesa-Scottsdale, AZ",1.6
